1;4;Статья, набранная на компьютере, содержит 32 страницы, на каждой странице 40 строк, в каждой строке 48 символов. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;60 Кбайт;120 Кбайт,480 байт,960 байт; Найдем количество символов в статье:   32 · 40 · 48 = 2^5· 5 · 2^3· 3 · 2^4 = 15 · 2^12.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   15 · 2^12 байт = 15 · 2^2 килобайт = 60 Кб. 
2;1;Статья, набранная на компьютере, содержит 48 страниц, на каждой странице 40 строк, в каждой строке 64 символа. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;120 Кбайт;240 Кбайт,1920 байт,960 байт; Найдем количество символов в статье:   64·40·48 = 2^6·5·2^3·3·2^4 = 15·2^13.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   15·2^13 байт = 15·2^3 килобайт = 120 Кб. 
3;1;Статья, набранная на компьютере, содержит 64 страницы, на каждой странице 40 строк, в каждой строке 40 символов. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;100 Кбайт;1600 байт,800 байт,200 Кбайт; Найдем количество символов в статье:   64·40·40 = 2^6·5·2^3·5·2^3 = 25·2^12.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   25·2^12 байт = 25·2^2 килобайт = 100 Кб. 
4;4;Статья, набранная на компьютере, содержит 32 страницы, на каждой странице 40 строк, в каждой строке 64 символа. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;80 Кбайт;640 байт,160 Кбайт,1280 байт; Найдем количество символов в статье:   64·40·32 = 2^6·5·2^3·2^5 = 5·2^14.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   5·2^14 байт = 5·2^4 килобайт = 80 Кб. 
5;1;Статья, набранная на компьютере, содержит 48 страниц, на каждой странице 40 строк, в каждой строке 40 символов. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;75 Кбайт;150 Кбайт,1200 байт,600 байт; Найдем количество символов в статье:   40·40·48 = 5·2^3·5·2^3·3·2^4 = 75·2^10.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   75·2^10 байт = 75·2^0 килобайт = 75 Кб. 
6;3;Статья, набранная на компьютере, содержит 64 страницы, на каждой странице 40 строк, в каждой строке 48 символов. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;120 Кбайт;1920 байт,960 байт,240 Кбайт; Найдем количество символов в статье:   64·40·48 = 2^6·5·2^3·3·2^4 = 15·2^13.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   15·2^13 байт = 15·2^3 килобайт = 120 Кб. 
7;1;Статья, набранная на компьютере, содержит 64 страницы, на каждой странице 40 строк, в каждой строке 64 символа. Определите размер статьи в кодировке КОИ-8, в которой каждый символ кодируется 8 битами.;160 Кбайт;320 Кбайт,1280 байт,2560 байт; Найдем количество символов в статье:   64·40·64 = 2^6·5·2^3·2^6 = 5 · 2^15.   Один символ кодируется одним байтом, 2^10 байт составляют 1 килобайт, поэтому информационный объем статьи составляет   5·2^15 байт = 5·2^5 килобайт = 160 Кб. 
8;2;В одной из кодировок Unicode каждый символ кодируется 16 битами. Определите размер следующего предложения в данной кодировке: Роняет лес багряный свой убор, сребрит мороз увянувшее поле.;960 бит;120 бит,480 байт,60 байт; Каждый символ кодируется 16 битами. В предложении 60 символов, включая пробелы. Следовательно, оно кодируется 960 битами. 
9;2;В одной из кодировок Unicode каждый символ кодируется 16 битами. Определите размер следующего предложения в данной кодировке: Я вас любил: любовь ещё, быть может, в душе моей угасла не совсем.;1056 бит;66 байт,528 байт,132 бит; Каждый символ кодируется 16 битами или двумя байтами. Всего символов 66, включая пробелы. Следовательно, ответ 1056 бит. 
10;4;В одной из кодировок Unicode каждый символ кодируется 16 битами. Определите размер следующего предложения в данной кодировке: Я вас любил безмолвно, безнадежно, то робостью, то ревностью томим.;1072 бит;67 байт,134 бит,536 байт; Каждый символ кодируется 16 битами или двумя байтами. Всего символов 67, включая пробелы. Следовательно, ответ 1072 бит. 
